,epoch,_wandb,val_acc,_runtime,test_acc,train_acc,lr,_step,_timestamp,fold,model,layers,dataset,batch_size,hidden_dims,repetitions,dataset_size
100,199.0,{'runtime': 22},0.96,23.39872694015503,0.9782608695652174,1.0,1e-05,199.0,1701881559.951144,3,GIN,4,HotIn,32,64,0,200
101,199.0,{'runtime': 16},0.88,17.62180209159851,0.9565217391304348,0.965,1e-05,199.0,1701881555.221739,3,GCN,4,HotIn,32,64,1,200
102,199.0,{'runtime': 21},0.94,22.887764930725098,0.967391304347826,0.985,1e-05,199.0,1701881560.14967,3,GIN,4,HotIn,32,64,1,200
103,199.0,{'runtime': 16},0.78,17.80570387840271,0.8043478260869565,0.83,1e-05,199.0,1701881554.89431,3,GCN,4,HotIn,32,64,0,200
104,199.0,{'runtime': 15},1.0,15.826133012771606,0.9891304347826086,1.0,1e-05,199.0,1701881524.855066,3,GlobalAttentionNet,3,HotIn,32,64,1,200
105,199.0,{'runtime': 15},1.0,16.07756209373474,0.9891304347826086,1.0,1e-05,199.0,1701881523.606601,3,GlobalAttentionNet,3,HotIn,32,64,0,200
106,199.0,{'runtime': 18},0.96,18.709655046463013,0.967391304347826,1.0,1e-05,199.0,1701881525.332951,3,SAGPool,3,HotIn,32,64,1,200
107,199.0,{'runtime': 16},0.94,16.622305870056152,0.9782608695652174,0.985,1e-05,199.0,1701881522.7345788,3,GCN,3,HotIn,32,64,0,200
108,199.0,{'runtime': 16},0.94,16.687914848327637,0.9891304347826086,0.98,1e-05,199.0,1701881523.178098,3,GCN,3,HotIn,32,64,1,200
109,199.0,{'runtime': 21},0.98,21.567365169525143,0.9891304347826086,1.0,1e-05,199.0,1701881527.355596,3,GIN,3,HotIn,32,64,1,200
110,199.0,{'runtime': 18},0.98,18.65623998641968,0.9891304347826086,1.0,1e-05,199.0,1701881525.245041,3,SAGPool,3,HotIn,32,64,0,200
111,199.0,{'runtime': 22},0.98,23.51518702507019,0.9891304347826086,1.0,1e-05,199.0,1701881526.763802,3,GIN,3,HotIn,32,64,0,200
112,199.0,{'runtime': 12},1.0,12.582696914672852,1.0,1.0,1e-05,199.0,1701881494.772403,3,GlobalAttentionNet,2,HotIn,32,64,1,200
113,199.0,{'runtime': 13},0.98,14.221466064453123,0.9891304347826086,1.0,1e-05,199.0,1701881493.505784,3,GCN,2,HotIn,32,64,1,200
114,199.0,{'runtime': 13},1.0,13.779062032699583,0.9891304347826086,1.0,1e-05,199.0,1701881493.749378,3,GlobalAttentionNet,2,HotIn,32,64,0,200
115,199.0,{'runtime': 13},0.96,13.973247051239014,0.967391304347826,1.0,1e-05,199.0,1701881493.357045,3,SAGPool,2,HotIn,32,64,0,200
116,199.0,{'runtime': 13},0.96,14.225400924682615,0.967391304347826,1.0,1e-05,199.0,1701881493.9332988,3,SAGPool,2,HotIn,32,64,1,200
117,199.0,{'runtime': 14},0.94,15.525250911712646,0.9891304347826086,0.985,1e-05,199.0,1701881492.397897,3,GCN,2,HotIn,32,64,0,200
118,199.0,{'runtime': 19},1.0,19.7338969707489,1.0,1.0,1e-05,199.0,1701881494.001951,3,GIN,2,HotIn,32,64,1,200
119,199.0,{'runtime': 18},0.98,19.51654815673828,0.9891304347826086,1.0,1e-05,199.0,1701881493.373794,3,GIN,2,HotIn,32,64,0,200
120,199.0,{'runtime': 10},1.0,10.89837098121643,1.0,1.0,1e-05,199.0,1701881467.620128,3,GlobalAttentionNet,1,HotIn,32,64,1,200
121,199.0,{'runtime': 10},1.0,10.901396036148071,1.0,1.0,1e-05,199.0,1701881467.4647,3,GlobalAttentionNet,1,HotIn,32,64,0,200
122,199.0,{'runtime': 11},0.96,11.849005937576294,0.9565217391304348,1.0,1e-05,199.0,1701881466.658249,3,SAGPool,1,HotIn,32,64,1,200
123,199.0,{'runtime': 12},0.96,13.190646171569824,0.9891304347826086,1.0,1e-05,199.0,1701881465.945454,3,GCN,1,HotIn,32,64,0,200
124,199.0,{'runtime': 13},0.98,14.320131063461304,1.0,1.0,1e-05,199.0,1701881467.181031,3,GIN,1,HotIn,32,64,1,200
125,199.0,{'runtime': 12},0.98,12.976643085479736,0.9891304347826086,1.0,1e-05,199.0,1701881466.137541,3,GCN,1,HotIn,32,64,1,200
126,199.0,{'runtime': 11},0.96,12.12138819694519,0.967391304347826,1.0,1e-05,199.0,1701881465.9240692,3,SAGPool,1,HotIn,32,64,0,200
127,186.0,,0.98,14.820627927780151,1.0,1.0,1e-05,186.0,1701881463.003537,3,GIN,1,HotIn,32,64,0,200
128,199.0,{'runtime': 13},1.0,14.371870040893556,1.0,1.0,1e-05,199.0,1701881441.832391,3,GlobalAttentionNet,4,HotIn,32,32,0,200
129,199.0,{'runtime': 13},1.0,14.302253007888794,0.9891304347826086,1.0,1e-05,199.0,1701881441.791258,3,GlobalAttentionNet,4,HotIn,32,32,1,200
130,199.0,{'runtime': 16},0.98,17.349020957946777,0.9891304347826086,1.0,1e-05,199.0,1701881442.239262,3,SAGPool,4,HotIn,32,32,0,200
131,199.0,{'runtime': 16},1.0,16.90086817741394,1.0,1.0,1e-05,199.0,1701881442.41405,3,SAGPool,4,HotIn,32,32,1,200
132,199.0,{'runtime': 15},0.72,15.913290977478027,0.6521739130434783,0.74,1e-05,199.0,1701881438.206243,3,GCN,4,HotIn,32,32,0,200
133,199.0,{'runtime': 14},0.58,15.592541217803957,0.7065217391304348,0.675,1e-05,199.0,1701881438.4656682,3,GCN,4,HotIn,32,32,1,200
134,199.0,{'runtime': 21},0.98,22.133215188980103,0.9891304347826086,1.0,1e-05,199.0,1701881443.7208252,3,GIN,4,HotIn,32,32,1,200
135,199.0,{'runtime': 21},0.94,22.280591011047363,0.9565217391304348,0.985,1e-05,199.0,1701881443.754666,3,GIN,4,HotIn,32,32,0,200
136,199.0,{'runtime': 13},1.0,13.571801900863647,1.0,1.0,1e-05,199.0,1701881411.275502,3,GlobalAttentionNet,3,HotIn,32,32,1,200
137,199.0,{'runtime': 13},0.94,13.782888889312744,0.9782608695652174,0.985,1e-05,199.0,1701881411.435453,3,GlobalAttentionNet,3,HotIn,32,32,0,200
138,199.0,{'runtime': 13},0.82,14.320947170257568,0.6739130434782609,0.79,1e-05,199.0,1701881411.446628,3,GCN,3,HotIn,32,32,1,200
139,199.0,{'runtime': 14},0.94,15.30198884010315,0.967391304347826,1.0,1e-05,199.0,1701881412.607304,3,SAGPool,3,HotIn,32,32,1,200
140,199.0,{'runtime': 13},0.94,14.154683113098145,0.9782608695652174,0.975,1e-05,199.0,1701881410.819875,3,GCN,3,HotIn,32,32,0,200
141,135.0,,0.98,13.988572120666504,0.9891304347826086,1.0,1e-05,135.0,1701881411.289123,3,SAGPool,3,HotIn,32,32,0,200
142,199.0,{'runtime': 20},0.98,21.28921627998352,0.9891304347826086,1.0,1e-05,199.0,1701881414.1545322,3,GIN,3,HotIn,32,32,0,200
143,199.0,{'runtime': 19},0.98,20.211873292922977,0.9782608695652174,1.0,1e-05,199.0,1701881413.9654772,3,GIN,3,HotIn,32,32,1,200
144,199.0,{'runtime': 12},1.0,12.779445886611938,1.0,1.0,1e-05,199.0,1701881383.908341,3,GlobalAttentionNet,2,HotIn,32,32,1,200
145,199.0,{'runtime': 12},0.96,12.98714804649353,0.967391304347826,1.0,1e-05,199.0,1701881383.487581,3,SAGPool,2,HotIn,32,32,1,200
146,199.0,{'runtime': 12},1.0,12.636878967285156,1.0,1.0,1e-05,199.0,1701881383.730078,3,GlobalAttentionNet,2,HotIn,32,32,0,200
147,199.0,{'runtime': 12},0.96,12.849037885665894,0.967391304347826,1.0,1e-05,199.0,1701881383.4636438,3,SAGPool,2,HotIn,32,32,0,200
148,199.0,{'runtime': 13},0.98,14.407749891281128,0.9891304347826086,1.0,1e-05,199.0,1701881381.4726698,3,GCN,2,HotIn,32,32,0,200
149,199.0,{'runtime': 13},0.94,14.3818781375885,0.967391304347826,0.97,1e-05,199.0,1701881382.1248052,3,GCN,2,HotIn,32,32,1,200
150,199.0,{'runtime': 18},0.94,19.154252290725708,0.9782608695652174,0.985,1e-05,199.0,1701881383.3120372,3,GIN,2,HotIn,32,32,1,200
