,_step,_wandb,val_acc,train_acc,_timestamp,lr,epoch,_runtime,test_acc,fold,model,layers,dataset,batch_size,hidden_dims,repetitions,dataset_size
863,199.0,{'runtime': 13},0.5,1.0,1702386410.420609,1e-05,199.0,14.277358055114746,0.7608695652173914,4,GINE,1,HotEdgesFull,16,16,"[1, 2]",25
864,199.0,{'runtime': 13},0.8333333333333334,1.0,1702386409.9586182,1e-05,199.0,14.609735250473022,0.6739130434782609,3,GlobalAttentionNet,4,HotEdgesFull,16,64,"[1, 2]",25
865,199.0,{'runtime': 19},0.5,1.0,1702386412.760183,1e-05,199.0,20.36542701721191,0.6304347826086957,3,GINE,4,HotEdgesFull,16,64,"[1, 2]",25
866,199.0,{'runtime': 12},1.0,1.0,1702386404.748825,1e-05,199.0,12.680536031723022,0.75,3,GlobalAttentionNet,3,HotEdgesFull,16,64,"[1, 2]",25
867,199.0,{'runtime': 18},0.6666666666666666,1.0,1702386410.458948,1e-05,199.0,19.610271215438843,0.6739130434782609,3,GINE,3,HotEdgesFull,16,64,"[1, 2]",25
868,199.0,{'runtime': 7},1.0,1.0,1702386386.671724,1e-05,199.0,8.396563053131104,0.782608695652174,3,GlobalAttentionNet,2,HotEdgesFull,16,64,"[1, 2]",25
869,199.0,{'runtime': 12},0.5,1.0,1702386386.527744,1e-05,199.0,13.48121213912964,0.6413043478260869,3,GINE,2,HotEdgesFull,16,64,"[1, 2]",25
870,199.0,{'runtime': 10},1.0,1.0,1702386383.8040771,1e-05,199.0,11.29232621192932,0.7608695652173914,3,GlobalAttentionNet,1,HotEdgesFull,16,64,"[1, 2]",25
871,199.0,{'runtime': 11},1.0,1.0,1702386382.29014,1e-05,199.0,12.468779802322388,0.7608695652173914,3,GlobalAttentionNet,4,HotEdgesFull,16,32,"[1, 2]",25
872,199.0,{'runtime': 12},1.0,1.0,1702386383.708527,1e-05,199.0,13.110205173492432,0.7717391304347826,3,GINE,1,HotEdgesFull,16,64,"[1, 2]",25
873,199.0,{'runtime': 17},1.0,1.0,1702386386.369705,1e-05,199.0,18.39163398742676,0.8152173913043478,3,GINE,4,HotEdgesFull,16,32,"[1, 2]",25
874,199.0,{'runtime': 12},0.8333333333333334,1.0,1702386378.664267,1e-05,199.0,12.857372045516968,0.7391304347826086,3,GlobalAttentionNet,3,HotEdgesFull,16,32,"[1, 2]",25
875,199.0,{'runtime': 18},0.8333333333333334,1.0,1702386383.4704452,1e-05,199.0,18.724156141281128,0.6956521739130435,3,GINE,3,HotEdgesFull,16,32,"[1, 2]",25
876,199.0,{'runtime': 7},1.0,1.0,1702386360.8757398,1e-05,199.0,7.774560928344727,0.7608695652173914,3,GlobalAttentionNet,2,HotEdgesFull,16,32,"[1, 2]",25
877,199.0,{'runtime': 9},0.5,1.0,1702386362.7819562,1e-05,199.0,9.839960098266602,0.6195652173913043,3,GINE,2,HotEdgesFull,16,32,"[1, 2]",25
878,199.0,{'runtime': 7},1.0,1.0,1702386360.4963598,1e-05,199.0,7.998344898223877,0.7608695652173914,3,GlobalAttentionNet,1,HotEdgesFull,16,32,"[1, 2]",25
879,199.0,{'runtime': 11},0.8333333333333334,1.0,1702386358.4058812,1e-05,199.0,12.00956416130066,0.717391304347826,3,GINE,1,HotEdgesFull,16,32,"[1, 2]",25
880,199.0,{'runtime': 11},0.8333333333333334,1.0,1702386355.882124,1e-05,199.0,11.621094942092896,0.7391304347826086,3,GlobalAttentionNet,4,HotEdgesFull,16,16,"[1, 2]",25
881,199.0,{'runtime': 10},1.0,1.0,1702386354.368396,1e-05,199.0,11.113980054855348,0.75,3,GlobalAttentionNet,3,HotEdgesFull,16,16,"[1, 2]",25
882,199.0,{'runtime': 16},1.0,0.9615384615384616,1702386360.5539682,1e-05,199.0,16.70068621635437,0.7391304347826086,3,GINE,4,HotEdgesFull,16,16,"[1, 2]",25
883,199.0,{'runtime': 15},1.0,1.0,1702386355.8392088,1e-05,199.0,15.870617866516112,0.7282608695652174,3,GINE,3,HotEdgesFull,16,16,"[1, 2]",25
884,199.0,{'runtime': 9},1.0,1.0,1702386335.553699,1e-05,199.0,9.747955083847046,0.782608695652174,3,GlobalAttentionNet,2,HotEdgesFull,16,16,"[1, 2]",25
885,199.0,{'runtime': 11},1.0,1.0,1702386338.065061,1e-05,199.0,12.39431619644165,0.782608695652174,3,GINE,2,HotEdgesFull,16,16,"[1, 2]",25
886,199.0,{'runtime': 9},1.0,0.9615384615384616,1702386334.315369,1e-05,199.0,9.797338008880615,0.7391304347826086,3,GlobalAttentionNet,1,HotEdgesFull,16,16,"[1, 2]",25
887,199.0,{'runtime': 11},0.8333333333333334,1.0,1702386335.668318,1e-05,199.0,12.047878980636597,0.7065217391304348,3,GINE,1,HotEdgesFull,16,16,"[1, 2]",25
888,199.0,{'runtime': 11},1.0,1.0,1702386333.702788,1e-05,199.0,12.498223066329956,0.7608695652173914,2,GlobalAttentionNet,4,HotEdgesFull,16,64,"[1, 2]",25
889,199.0,{'runtime': 18},1.0,1.0,1702386338.494358,1e-05,199.0,18.98011016845703,0.75,2,GINE,4,HotEdgesFull,16,64,"[1, 2]",25
890,199.0,{'runtime': 10},1.0,1.0,1702386330.620948,1e-05,199.0,11.53144097328186,0.7717391304347826,2,GlobalAttentionNet,3,HotEdgesFull,16,64,"[1, 2]",25
891,199.0,{'runtime': 17},1.0,1.0,1702386335.281487,1e-05,199.0,17.97782301902771,0.782608695652174,2,GINE,3,HotEdgesFull,16,64,"[1, 2]",25
892,199.0,{'runtime': 7},1.0,1.0,1702386312.4503622,1e-05,199.0,8.264150142669678,0.7608695652173914,2,GlobalAttentionNet,2,HotEdgesFull,16,64,"[1, 2]",25
893,199.0,{'runtime': 11},1.0,1.0,1702386313.490099,1e-05,199.0,11.61345100402832,0.7717391304347826,2,GINE,2,HotEdgesFull,16,64,"[1, 2]",25
